SourceList,Study,N,Women,Gender,Scan,CoordSys,ROI,FixedRandom,Stimuli,Method,Emotion,Valence,Mode,CogLoad,AffectFocus,ObjectEval,Contrast,x,y,z,p_correction
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-44,-8,-37,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,12,-74,-35,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,0,-59,-24,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,42,-52,-24,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,42,-52,-24,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-36,14,-24,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,55,7,-22,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-40,-86,-12,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,48,-78,-10,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,65,-14,-4,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-59,-14,-1,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,53,-39,6,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-53,-57,21,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-46,-8,41,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,-48,-4,41,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,53,-7,45,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,sad,negative,experience,no,foreground,feeling,1,2,-15,62,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,12,-72,-33,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,55,6,-29,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,46,-42,-20,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,-12,-72,-18,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,-40,-49,-14,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,48,-78,-1,corrected
0,s_Aalto2002,11,11,female,PET,MNI,no,1,film,visual,happy,positive,experience,no,foreground,feeling,2,-42,-80,2,corrected
